Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
9400,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,280,CHF,9494,Switzerland, Lake Constance 
9265,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,873,CHF,9357.65,Switzerland, Lake of Zurich 
9200,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,258,CHF,9292,Switzerland, 8881 Tscherlach
8500,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,165,EUR,8500,Italy, Lombardia - Trentino Alto Adige 
8500,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,78,EUR,8500,France," Chalon-sur-Sa̫ne, France"
8500,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,116,EUR,8500,France, 29200 BREST
8500,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,250,EUR,8500,Germany, Kelheim
9750,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,183,EUR,9750,Netherlands, Sneek
10500,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,465,CHF,10605,Switzerland, Lago Maggiore 
10400,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,418,CHF,10504,Switzerland, Diessenhofen 
9599,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,185,EUR,9599,Germany, Verkaufshafen Brandenburg-Plaue
9575,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,64,EUR,9575,Germany, Grevenbroich
9553,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2,GRP,91,EUR,9553,Netherlands, Lemmer
9500,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,138,EUR,9500,Netherlands, In verkoophaven
