Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
229000,Hardtop,Saga power boats,"Used boat,Diesel",2013,11,3.47,GRP,247,CHF,231290,Switzerland, VierwaldstÃ¤ttersee 
211800,Sport Boat,Fjord power boats,"Used boat,Diesel",2017,11.5,3.64,GRP,187,EUR,211800,Croatia , Split
1575000,Flybridge,Cranchi power boats,Diesel,2004,15.72,4.33,GRP,73,DKK,204750,Denmark, Middelhavet
210000,Motor Yacht,Premier power boats,"Used boat,Diesel",1995,15.24,4.57,Steel,45,EUR,210000,Spain, Valencia
210000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2005,13.13,3.83,GRP,53,EUR,210000,Portugal, Lisbon
210000,Flybridge,Cranchi power boats,"Used boat,Diesel",2004,15.72,4.33,GRP,102,EUR,210000,Spain, Costa Brava 
210000,Motor Yacht,Princess power boats,"Used boat,Diesel",2003,14.63,3.96,GRP,88,EUR,210000,Croatia , Split
210000,Flybridge,Rodman power boats,"Used boat,Diesel",2007,13.67,4.2,PVC,39,EUR,210000,Spain," PALMA, Espagne"
210000,Trawler,Gruno power boats,Used boat,2008,13.4,4.1,Steel,76,EUR,210000,Netherlands, In verkoophaven
199000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,13.41,3.99,GRP,69,Â£ ,199000,Spain, Puerto Portals
218000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,11.25,3.72,PVC,35,EUR,218000,France," LA TRINITE SUR MER, France"
218000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2015,11.43,3.84,GRP,66,EUR,218000,Spain, INFO DD-YACHTING
235000,Pilothouse,Bavaria power boats,"new boat from stock,Unleaded",2017,10.95,3.31,GRP,216,CHF,237350,Switzerland, Neuenburgersee 
216590,Motor Yacht,Aquador power boats,"new boat from stock,Diesel",2019,8.25,3.05,GRP,84,EUR,216590,Germany, LÃ¼becker Bucht 
232900,Motor Yacht,Viper power boats,"new boat from stock,Unleaded",2020,9.8,3,GRP,220,CHF,235229,Switzerland, Lake Constance 
215000,Flybridge,Fairline power boats,"Used boat,Diesel",2002,14.59,4.32,GRP,71,EUR,215000,Portugal, Lisbon
220000,Hardtop,BÃ©nÃ©teau power boats,Used boat,2011,12.9,3.99,GRP,61,EUR,220000,Italy, Campania 
220000,Cabin Boat,Majoni power boats,"Used boat,Diesel",2010,11.69,3.66,GRP,66,EUR,220000,Spain, Mallorca 
220000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2016,11.15,3.74,GRP,129,EUR,220000,Netherlands, INFO DD-YACHTING
220000,Pontoon Boat,Rizzardi power boats,"Used boat,Diesel",2004,16.1,4.35,GRP,116,EUR,220000,Italy, Lazio 
220000,Motor Yacht,Carver power boats,"Used boat,Diesel",1998,15,4,GRP,103,EUR,220000,Croatia , Dalmatia
220000,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9.95,3.32,PVC,72,EUR,220000,France," ARCACHON, France"
220000,Flybridge,Riva power boats,Used boat,1997,17.28,4.75,GRP,137,EUR,220000,Netherlands, Altea (ES)
220000,Motor Yacht,Baia power boats,"Used boat,Diesel",2009,12.57,4.61,GRP,54,EUR,220000,Italy, Puglia
220000,"Hardtop,Motor Yacht",Galeon power boats,"Used boat,Diesel",2010,11.7,3.66,GRP,1153,EUR,220000,Germany, Bodensee
225000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,9.99,3.53,GRP,58,EUR,225000,France, CÃ´te d'Azur 
225000,Motor Yacht,Vacance power boats,Used boat,2004,13.5,4.2,Steel,78,EUR,225000,Germany, In verkoophaven
225000,Sport Boat,AXOPAR power boats,"new boat from stock,Unleaded",2019,11.2,3.3,GRP,272,EUR,225000,Germany, Ausstellungshalle Traben Trarbach 
225000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,14.8,4.27,PVC,82,EUR,225000,France," Ajaccio, France"
225000,Flybridge,Hatteras power boats,"Used boat,Diesel",1987,20,4.97,GRP,59,EUR,225000,Italy, Casamicciola Terme
225000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2017,10.07,3.25,GRP,169,EUR,225000,Germany, Hessen 
225000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,12.17,4.2,GRP,82,EUR,225000,Italy, Liguria 
225000,Flybridge,Princess power boats,"Used boat,Diesel",2004,13.49,4.14,GRP,82,EUR,225000,Croatia ,22000
225000,Trawler,Pacific power boats,"Used boat,Diesel",1995,14.95,4.25,Steel,69,EUR,225000,Netherlands, Op aanvraag - Auf Anfrage - On request
225000,Center console boat,Innovazioni e Progetti power boats,Used boat,2009,14.7,4.64,GRP,62,EUR,225000,Italy, Campania 
225000,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2008,12.96,4.15,GRP,186,EUR,225000,Italy, Friuli Venezia Giulia 
230000,Trawler,Succes power boats,"Used boat,Diesel",2010,14.9,4.2,Steel,109,EUR,230000,Germany, onbekend
230000,Sport Boat,Cantieri di Sarnico power boats,"Used boat,Diesel",2008,13.07,4.16,GRP,81,EUR,230000,Italy, Sardegna 
230000,Motor Yacht,Marex power boats,"Used boat,Diesel",2011,11.37,3.5,GRP,127,EUR,230000,Croatia ,22000
230000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2012,13.36,4.16,PVC,103,EUR,230000,France," Propriano, France"
230000,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2008,12,4,GRP,53,EUR,230000,Croatia , Dalmatia
230000,Motor Yacht,Cranchi power boats,Used boat,2017,9.99,3.53,GRP,83,EUR,230000,Italy, Campania 
230000,Flybridge,Cranchi power boats,"Used boat,Diesel",2006,14.99,4.33,GRP,115,EUR,230000,Italy, Liguria 
230000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,10.98,3.98,PVC,129,EUR,230000,France," ANTIBES, ANTIBES"
230000,Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1996,17.92,5.09,GRP,33,EUR,230000,Italy, Sicilia 
230000,Flybridge,Sagemar power boats,"Used boat,Diesel",2001,13.8,4.1,GRP,37,EUR,230000,Italy, Lazio 
230000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2013,12.5,3.7,Plastic,158,EUR,230000,Croatia , Pirovac
238000,Flybridge,Fairline power boats,"Used boat,Diesel",1996,17.05,4.65,GRP,201,EUR,238000,Netherlands, Op aanvraag - Auf Anfrage - On request
238000,Trawler,Linssen power boats,Used boat,2019,9.7,3.35,Steel,102,EUR,238000,Netherlands," Niet in verkoophaven, bezichtiging op afspraak"
238000,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",2019,8.75,2.74,GRP,250,EUR,238000,Germany, Lake Constance 
237700,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,9.99,3.53,GRP,103,EUR,237700,Germany, Bayern 
237500,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2009,10.87,3.45,GRP,119,EUR,237500,Germany, Nordrhein-Westfalen
256740,Motor Yacht,Viper power boats,"new boat from stock,Unleaded",2020,9.8,3,GRP,200,CHF,259307.4,Switzerland, Romanshorn 
237000,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9.98,3.35,PVC,80,EUR,237000,France," LA GRANDE MOTTE, LA GRANDE MOTTE"
255468,Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,8.24,2.6,GRP,157,CHF,258022.68,Switzerland, Stansstad
214950,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2018,10.49,3.07,PVC,74,Â£ ,214950,United Kingdom ," Swanwick, Swanwick"
214950,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2018,10.54,3.07,PVC,62,Â£ ,214950,United Kingdom ," Swanwick, Swanwick"
254800,Hardtop,Aquador power boats,"new boat from stock,Diesel",2019,9.15,3.1,GRP,230,CHF,257348,Switzerland, VierwaldstÃ¤ttersee 
240000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,11.5,3.85,PVC,58,EUR,240000,Spain, Gerona
240000,Sport Boat,AXOPAR power boats,new boat on order,2020,11.5,3.35,GRP,245,EUR,240000,Poland, In Produktion
240000,Trawler,BÃ©nÃ©teau power boats,Used boat,2009,12.17,4.17,GRP,78,EUR,240000,Turkey, Bodrum
240000,Motor Yacht,Princess power boats,"Used boat,Diesel",2005,15.49,4.22,GRP,74,EUR,240000,Croatia , NÃ¤he Zadar
240000,Flybridge,Galeon power boats,"Used boat,Diesel",2014,10.12,3.46,GRP,410,EUR,240000,Germany, Lake Constance 
240000,Flybridge,Cayman power boats,"Used boat,Diesel",2006,13.57,4.24,GRP,51,EUR,240000,Italy, Sardegna 
239900,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,14.96,4.29,GRP,115,EUR,239900,Croatia , NÃ¤he Zadar/Kroatien
239896,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,9.95,3.35,GRP,202,EUR,239896,Switzerland, Stansstad
239190,Motor Yacht,Jeanneau power boats,"new boat on order,Diesel",2020,10.56,3.32,GRP,95,EUR,239190,Germany, BÃ¶nningstedt
245000,Motor Yacht,Majesty Yachts power boats,"Used boat,Diesel",2008,13,4,GRP,76,EUR,245000,Croatia , Kvarner
245000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,13.12,3.98,GRP,136,EUR,245000,United Kingdom , Essex
245000,Motor Yacht,Catfish power boats,Used boat,2005,14.98,4.5,Steel,74,EUR,245000,Netherlands," Schip ligt in Roermond, bezichtiging op afspraak /"
245000,Motor Yacht,Falcon Yachts power boats,"Used boat,Diesel",1989,23,5.7,GRP,103,EUR,245000,Greece, Athen
245000,Runabout,Boesch power boats,"Used boat,Unleaded",2011,7.8,2.5,Wood,118,EUR,245000,Austria, WÃ¶rthersee 
245000,Sport Boat,Sea Ray power boats,"new boat from stock,Diesel",2020,8.75,2.74,GRP,84,EUR,245000,Austria, Linz
245000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2000,18.36,5.05,GRP,87,EUR,245000,Spain, Costa Blanca 
245000,Flybridge,Princess power boats,"Used boat,Diesel",1998,17.15,4.62,GRP,79,EUR,245000,Portugal, Vilamoura
245000,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2019,8.23,2.74,GRP,105,EUR,245000,Spain, Baleares 
245000,Flybridge,Azimut power boats,"Used boat,Diesel",2009,13.11,4.22,GRP,59,EUR,245000,Spain, Mallorca 
249000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2007,12.5,3.9,GRP,184,EUR,249000,Denmark, NÃ¤he Kopenhagen
249000,Trawler,Valk power boats,Used boat,2004,16.8,4.35,Steel,67,EUR,249000,Netherlands, In verkoophaven
249000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,16.22,4.26,GRP,107,EUR,249000,Croatia ,22000
249000,Motor Yacht,Pedrazzini power boats,"Used boat,Unleaded",2001,9.5,2.8,Wood,146,EUR,249000,Germany, Brandenburg 
249000,Flybridge,Rodman power boats,"Used boat,Diesel",2008,13.6,4.28,PVC,50,EUR,249000,France," LA GRANDE MOTTE, LA GRANDE MOTTE"
249000,Trawler,Linssen power boats,"Used boat,Diesel",1999,13.99,4.35,Steel,126,EUR,249000,Germany, INFO DD-YACHTING
249000,Motor Yacht,AXOPAR power boats,"new boat on order,Unleaded",2019,11.5,3.35,GRP,210,EUR,249000,Germany, Ausstellungshalle Traben-Trarbach
249000,Motor Yacht,Fairline power boats,Used boat,2007,16.22,4.27,GRP,133,EUR,249000,Croatia , Sibenic
249000,Flybridge,Numarine power boats,Used boat,2007,15.42,4.45,GRP,90,EUR,249000,Croatia , onbekend
249000,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2020,10.56,3.32,PVC,46,EUR,249000,France," Les Marines de Cogolin, France"
249000,Motor Yacht,Marex power boats,"Used boat,Diesel",2018,9.99,3.3,GRP,137,EUR,249000,Germany, Berlin 
230000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,15.88,4.48,GRP,35,Â£ ,230000,United Kingdom , Poole
229950,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2018,10.36,3.05,PVC,18,Â£ ,229950,United Kingdom ," Lincoln, Lincoln"
251388,Motor Yacht,Delphia power boats,new boat from stock,2020,12.75,4.26,GRP,66,EUR,251388,Poland, ab Werk
229000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,14.33,4.42,GRP,54,Â£ ,229000,United Kingdom , Torquay
251000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,7.98,2.75,PVC,38,EUR,251000,France," Yvoire, France"
251000,Motor Yacht,Azimut power boats,"new boat on order,Diesel",2020,10.25,3.5,GRP,215,EUR,251000,Switzerland, noch in Produktion
250000,Flybridge,Posillipo power boats,"Used boat,Diesel",1996,16.04,4.76,GRP,70,EUR,250000,Italy, Sardegna 
250000,Motor Yacht,C.N. Tigullio power boats,"Used boat,Diesel",2000,22,5.3,Wood,232,EUR,250000,Italy, Toscana 
250000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2002,16.13,4.44,GRP,110,EUR,250000,Portugal, Lisbon
250000,Hardtop,Tiara power boats,"Used boat,Diesel",2005,15.34,4.42,GRP,38,EUR,250000,Spain, Mallorca 
250000,Hardtop,Galeon power boats,"new boat from stock,Diesel",2018,9.95,3.35,GRP,117,EUR,250000,Italy, Lombardia - Trentino Alto Adige 
259000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,14,4,GRP,85,EUR,259000,Croatia , Dalmatia
259000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,9.98,3.84,GRP,59,EUR,259000,Italy, Liguria 
259000,Flybridge,Sealine power boats,"Used boat,Diesel",2014,11.4,3.77,GRP,95,EUR,259000,Spain, Alicante
259000,Hardtop,Fairline power boats,"Used boat,Diesel",2006,14.78,4.08,PVC,90,EUR,259000,France," Cogolin, Cogolin"
259000,Flybridge,Doqueve power boats,Used boat,2007,15.4,4.6,GRP,71,EUR,259000,Spain, MURCIA (ES)
259000,Runabout,SAY power boats,"Display Model,Unleaded",2018,8.85,2.78,Carbon Fiber,57,EUR,259000,Germany, LÃ¼becker Bucht 
1924000,Hardtop,Marex power boats,"new boat from stock,Diesel",2020,9.99,3.3,GRP,107,DKK,250120,Denmark, Ab vÃ¦rft
258000,Flybridge,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2019,9.99,3.53,GRP,222,EUR,258000,Switzerland, VierwaldstÃ¤ttersee 
265000,Hardtop,Egemar power boats,"Used boat,Diesel",2008,15.5,4.1,GRP,43,EUR,265000,Turkey, GÃ¶cek
265000,Motor Yacht,Koopmans power boats,"Used boat,Diesel",1972,22.3,5.24,Steel,100,EUR,265000,Germany, Norddeutschland
265000,Motor Yacht,Aquador power boats,"Used boat,Diesel",2013,10.7,3.45,GRP,134,EUR,265000,Germany, Ostsee 
265000,"Hardtop,Mega Yacht,Motor Yacht",Bavaria power boats,"Used boat,Unleaded",2017,13.29,3.99,GRP,379,EUR,265000,Germany, Brandenburg 
265000,Motor Yacht,Rizzardi power boats,"Used boat,Diesel",2006,14.8,4.4,GRP,114,EUR,265000,Italy, Lazio 
265000,Motor Yacht,Elling power boats,"Used boat,Diesel",2007,13.8,4.25,GRP,175,EUR,265000,Croatia , Pula / Marina Veruda
265000,Motor Yacht,Elling power boats,Used boat,2004,14.95,4.25,GRP,80,EUR,265000,Netherlands, In verkoophaven
265000,Motor Yacht,Frauscher power boats,"Used boat,Unleaded",2018,9.99,2.98,GRP,413,EUR,265000,Switzerland, ASCONA
269900,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,14.96,4.92,GRP,76,EUR,269900,Croatia , Adria
269500,Motor Yacht,Pollard power boats,Used boat,2016,12,4.2,Steel,95,EUR,269500,Netherlands, In verkoophaven
269500,Motor Yacht,Princess power boats,"Used boat,Diesel",2001,17.15,4.48,GRP,198,EUR,269500,Croatia , Istrien
269400,Motor Yacht,Invictus power boats,"Display Model,Unleaded",2019,9.95,3.03,GRP,212,EUR,269400,Switzerland, Lago Maggiore 
269000,Flybridge,Fairline power boats,"Used boat,Diesel",1999,17.05,4.65,GRP,127,EUR,269000,Spain, onbekend
269000,Hardtop,Azimut power boats,Used boat,2008,12.97,4.22,GRP,145,EUR,269000,Italy, Campania 
269000,Trawler,Smelne power boats,"Used boat,Diesel",2006,13.75,4.4,Steel,48,EUR,269000,Netherlands," Boat is not in our sales harbour, viewing after ap"
269000,Hardtop,Fairline power boats,"Used boat,Diesel",2009,13.12,4.04,GRP,162,EUR,269000,Italy, Campania 
269000,Motor Yacht,Seaway power boats,"Used boat,Diesel",2018,11.99,3.75,GRP,81,EUR,269000,Italy, INFO DD-YACHTING
269000,Flybridge,Princess power boats,"Used boat,Diesel",1996,18.85,4.8,GRP,229,EUR,269000,Belgium , Op aanvraag - Auf Anfrage - On request
269000,Trawler,Linssen power boats,"Used boat,Diesel",2017,10.7,3.4,Steel,97,EUR,269000,Netherlands, Limburg 
269000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2017,11.43,3.84,PVC,66,EUR,269000,France," LA GRANDE MOTTE, France"
269000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1999,16.02,4.69,GRP,65,EUR,269000,Netherlands, On Request
275000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2008,14.6,4.36,PVC,90,EUR,275000,Germany, Norddeutschland
275000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,14.33,4.3,GRP,93,EUR,275000,France, Gruissan
275000,Trawler,Linssen power boats,"Used boat,Diesel",2017,10.7,3.4,Steel,75,EUR,275000,Germany, Ostsee 
275000,Motor Yacht,Trader Motor Yachts power boats,"Used boat,Diesel",2003,16.92,4.58,GRP,109,EUR,275000,Germany, LÃ¼becker Bucht 
275000,Cabin Boat,Nimbus power boats,"new boat from stock,Diesel",2020,9.85,3.25,GRP,257,EUR,275000,Germany, Mosel 
275000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,10.22,3.39,GRP,78,EUR,275000,Croatia , Kroatien
275000,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,9.85,3.25,GRP,212,EUR,275000,Sweden , In Produktion
275000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2017,11.7,3.66,GRP,259,EUR,275000,Germany, Lake Constance 
275000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,14.93,4.36,GRP,197,EUR,275000,Austria, Kroatien
275000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,14.95,4.3,GRP,196,EUR,275000,Spain, Mallorca 
254950,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,11.46,3.61,PVC,48,Â£ ,254950,United Kingdom ," Lincoln, Lincoln"
300000,Runabout,Frauscher power boats,"Used boat,Unleaded",2019,9.99,2.92,GRP,603,CHF,303000,Switzerland, Lago Maggiore 
279500,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,11.29,3.96,PVC,49,EUR,279500,France," LORIENT, France"
279000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2007,16.02,4.65,GRP,78,EUR,279000,Spain, MÃ¡laga
279000,Flybridge,Princess power boats,"Used boat,Diesel",2003,15.24,4.47,GRP,72,EUR,279000,Portugal, Vilamoura
279000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,13.5,4.04,PVC,100,EUR,279000,France," Lorient, Lorient"
279000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2012,13.72,4.51,GRP,108,EUR,279000,Spain, Urbanitzacio Galatzo
279000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2004,16.22,4.27,GRP,111,EUR,279000,Spain, Mallorca 
279000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,14.22,4.27,GRP,85,EUR,279000,Croatia , INFO DD-YACHTING
279000,Motor Yacht,Cayman power boats,"Used boat,Diesel",2007,17,4.65,GRP,26,EUR,279000,Croatia , Split
279000,Trawler,Pikmeerkruiser power boats,Used boat,2009,13.9,4.35,Steel,53,EUR,279000,Netherlands, Grou.
279000,Hardtop,Menorquin power boats,"Used boat,Diesel",2005,15.95,5,PVC,47,EUR,279000,Spain," Calafat, Espagne"
285000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,13.88,4.25,GRP,108,EUR,285000,Germany, N.-Deutschland
285000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2011,13.36,4.16,PVC,79,EUR,285000,Spain," Palma, Espagne"
285000,Flybridge,Riviera power boats,"Used boat,Diesel",2002,16.4,4.88,PVC,24,EUR,285000,Spain, Mallorca 
285000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2013,13.7,4.13,PVC,32,EUR,285000,France," Saint-Cast-le-Guildo, France"
285000,Hardtop,Cantieri Nautici Dalla Pieta power boats,"Used boat,Diesel",2005,15.35,4.15,GRP,97,EUR,285000,Italy, Lombardia - Trentino Alto Adige 
285000,Flybridge,Raffaelli power boats,"Used boat,Diesel",2006,15.83,4.3,GRP,33,EUR,285000,Italy, Puglia
285000,Trawler,Bavaria power boats,"Used boat,Diesel",2018,12.29,4.2,GRP,159,EUR,285000,Italy, Gardasee
285000,Flybridge,Bavaria power boats,"Used boat,Diesel",2018,12.29,4.2,GRP,173,EUR,285000,Italy, INFO DD-YACHTING
284000,Motor Yacht,Prestige Yachts power boats,"Used boat,Diesel",2011,13.34,4.17,GRP,61,EUR,284000,Spain, Mallorca 
290000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,12.76,3.85,GRP,76,EUR,290000,Croatia , INFO DD-YACHTING
290000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2009,14.96,4.29,GRP,214,EUR,290000,Switzerland, Griechenland 
290000,Hardtop,Absolute power boats,"Used boat,Diesel",2009,16,4.65,GRP,109,EUR,290000,Italy, Mar Tirreno
290000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,11.29,3.96,PVC,33,EUR,290000,France," Cogolin, France"
290000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,19.51,4.72,GRP,141,EUR,290000,Slovenia , Izola / Isola
290000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,12.67,3.85,PVC,106,EUR,290000,France," saint cyprien, France, saint cyprien, saint cyprie"
290000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,12.67,3.85,PVC,71,EUR,290000,France," saint cyprien, saint cyprien"
290000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2004,16.24,4.87,GRP,212,EUR,290000,Greece, Mykonos Island
290000,Motor Yacht,Fountaine Pajot power boats,Used boat,2004,13.95,6.35,PVC,78,EUR,290000,France," Canet-en-Roussillon, France"
290000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,15.73,4.02,GRP,66,EUR,290000,Monaco, .
290000,Motor Yacht,Cantieri Estensi power boats,Used boat,2010,12.05,4.3,GRP,96,EUR,290000,Italy, Campania 
295000,Flybridge,Princess power boats,"Used boat,Diesel",2003,14.64,4.57,GRP,62,EUR,295000,Spain, Alicante
295000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,12.67,3.87,PVC,40,EUR,295000,France," Antibes, Antibes"
295000,Hardtop,Zeeland Jachtbouw power boats,"Used boat,Diesel",2005,14.5,4.5,Steel,117,EUR,295000,Belgium , Gent
295000,Motor Yacht,Princess power boats,"Used boat,Diesel",2010,13.56,3.99,GRP,110,EUR,295000,France, Cannes
295000,Motor Yacht,Rizzardi power boats,"Used boat,Diesel",2009,14.8,4.4,GRP,32,EUR,295000,Italy, Mar Tirreno
295000,Motor Yacht,XO Boats power boats,"Used boat,Diesel",2017,11.28,3.29,Aluminium,236,EUR,295000,Germany, Berlin 
295000,Trawler,Aquanaut power boats,Used boat,2007,13.15,4.35,Steel,138,EUR,295000,Netherlands, In verkoophaven
295000,Motor Yacht,VanDutch power boats,Used boat,2010,11.98,3.5,GRP,130,EUR,295000,Netherlands, In verkoophaven
299000,Flybridge,Doqueve power boats,"Used boat,Diesel",2008,15.4,4.6,GRP,37,EUR,299000,Spain, Murcia
299000,Flybridge,Azimut power boats,"Used boat,Diesel",1991,23.95,5.8,GRP,123,EUR,299000,Spain, CastellÃ³n
299000,Hardtop,Formula power boats,"Used boat,Diesel",2008,14.68,4.25,GRP,73,EUR,299000,Germany, Rhein 
299000,Motor Yacht,Smelne power boats,"Used boat,Diesel",1999,14.85,4.7,Steel,89,EUR,299000,Germany, Brandenburg 
299000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2003,15.98,4.26,GRP,60,EUR,299000,Spain, Mallorca 
299000,Trawler,Grand Banks power boats,Used boat,1994,14.35,4.55,GRP,97,EUR,299000,Netherlands, Elders
299000,Hardtop,Sealine power boats,"Used boat,Diesel",2012,13.72,4.48,GRP,149,EUR,299000,Spain, Mallorca 
299000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2016,10.98,3.8,GRP,42,EUR,299000,Italy, Mar Tirreno
299000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2002,18.34,4.6,GRP,135,EUR,299000,Spain, Mallorca 
299000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,14.22,4.27,GRP,121,EUR,299000,Croatia , INFO BOOTE RIEDL SUKOSAN
299000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2016,12.19,3.66,GRP,78,EUR,299000,Malta, San ?iljan
310000,Motor Yacht,Absolute power boats,"Used boat,Diesel",2012,13.65,4.15,GRP,94,EUR,310000,France, Perpignan
310000,Hardtop,Pershing power boats,"Used boat,Diesel",2001,16.45,4.72,GRP,79,EUR,310000,Italy, Mare Adriatico
309350,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2019,9.97,3,GRP,202,EUR,309350,Germany, Lake Constance 
2300000,Motor Yacht,Marex power boats,"Used boat,Diesel",2020,9.46,3.24,GRP,101,DKK,299000,Denmark, SEPTEMBER 2020 Reese Marin
309000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2018,11.43,3.84,PVC,86,EUR,309000,France," LA ROCHELLE, LA ROCHELLE"
308000,Sport Boat,Technohull power boats,"new boat from stock,Unleaded",2020,11.13,3.23,GRP,100,EUR,308000,Cyprus, Limassol
332024,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,10.34,3.2,GRP,520,CHF,335344.24,Switzerland, Lake of Zurich 
279000,Hardtop,Princess power boats,"Used boat,Diesel",2011,13.38,4.14,GRP,76,Â£ ,279000,United Kingdom , Southhampton
305000,Flybridge,Sealine power boats,Used boat,2011,13.6,4.48,GRP,83,EUR,305000,Finland," Helsinki, (FI)"
305000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,12.24,4.1,GRP,80,EUR,305000,Italy, INFO DD-YACHTING
329500,Hardtop,Sealine power boats,"Used boat,Diesel",2019,10.31,3.5,GRP,622,CHF,332795,Switzerland, VierwaldstÃ¤ttersee 
319000,Hardtop,Pershing power boats,"Used boat,Diesel",2008,15.23,4.38,GRP,125,EUR,319000,Italy, Trieste
319000,Motor Yacht,Elegance power boats,"Used boat,Diesel",2006,16.4,4.8,GRP,26,EUR,319000,Spain, INFO DD-YACHTING
319000,Trawler,Euroship power boats,Used boat,2009,13.85,4.46,Steel,58,EUR,319000,Netherlands, Elders
289950,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,10.97,3.96,PVC,39,Â£ ,289950,United Kingdom ," Lincoln, Lincoln"
